,s,a,sp,r
532,4,1,5,-3.0
533,4,2,5,-2.0
534,4,3,5,-3.0
535,4,4,5,-3.0
536,4,5,5,5.0
537,4,6,5,-3.0
538,4,7,5,-3.0
539,4,8,5,-3.0
540,4,9,5,-3.0
541,4,10,5,-2.0
542,4,11,5,-3.0
543,4,12,5,-3.0
544,4,13,5,-2.0
545,4,14,5,-3.0
546,5,1,7,-2.0
547,5,2,7,-3.0
548,5,3,7,-3.0
549,5,4,7,-3.0
550,5,5,7,-3.0
551,5,6,7,-5.0
552,5,7,7,4.0
553,5,8,7,-3.0
554,5,9,7,-2.0
555,5,10,7,-3.0
556,5,11,7,-2.0
557,5,12,7,-3.0
558,5,13,7,-3.0
559,5,14,7,-2.0
560,4,1,6,-5.0
561,4,2,6,-5.0
562,4,3,6,-3.0
563,4,4,6,-2.0
564,4,5,6,-3.0
565,4,6,6,3.0
566,4,7,6,-5.0
567,4,8,6,-3.0
568,4,9,6,-5.0
569,4,10,6,-5.0
570,4,11,6,-5.0
571,4,12,6,-5.0
572,4,13,6,-3.0
573,4,14,6,-5.0
574,6,1,12,-2.0
575,6,2,12,-1.0
576,6,3,12,-2.0
577,6,4,12,-4.0
578,6,5,12,-3.0
579,6,6,12,-5.0
580,6,7,12,-3.0
581,6,8,12,-3.0
582,6,9,12,-3.0
583,6,10,12,-3.0
584,6,11,12,-3.0
585,6,12,12,4.0
586,6,13,12,-3.0
587,6,14,12,-3.0
588,4,1,11,-3.0
589,4,2,11,-2.0
590,4,3,11,-3.0
591,4,4,11,-3.0
592,4,5,11,-3.0
593,4,6,11,-5.0
594,4,7,11,-2.0
595,4,8,11,-3.0
596,4,9,11,-5.0
597,4,10,11,-2.0
598,4,11,11,4.0
599,4,12,11,-3.0
600,4,13,11,-3.0
601,4,14,11,-3.0
602,1,1,11,-3.0
603,1,2,11,-2.0
604,1,3,11,-3.0
605,1,4,11,-3.0
606,1,5,11,-3.0
607,1,6,11,-5.0
608,1,7,11,-2.0
609,1,8,11,-3.0
610,1,9,11,-5.0
611,1,10,11,-2.0
612,1,11,11,3.0
613,1,12,11,-3.0
614,1,13,11,-3.0
615,1,14,11,-3.0
616,7,1,5,-3.0
617,7,2,5,-2.0
618,7,3,5,-3.0
619,7,4,5,-3.0
620,7,5,5,1.0
621,7,6,5,-3.0
622,7,7,5,-3.0
623,7,8,5,-3.0
624,7,9,5,-3.0
625,7,10,5,-2.0
626,7,11,5,-3.0
627,7,12,5,-3.0
628,7,13,5,-2.0
629,7,14,5,-3.0
630,13,1,1,5.0
631,13,2,1,-2.0
632,13,3,1,-3.0
633,13,4,1,-3.0
634,13,5,1,-3.0
635,13,6,1,-5.0
636,13,7,1,-2.0
637,13,8,1,-3.0
638,13,9,1,-2.0
639,13,10,1,-3.0
640,13,11,1,-3.0
641,13,12,1,-2.0
642,13,13,1,-3.0
643,13,14,1,0.0
644,7,1,7,-2.0
645,7,2,7,-3.0
646,7,3,7,-3.0
647,7,4,7,-3.0
648,7,5,7,-3.0
649,7,6,7,-5.0
650,7,7,7,3.0
651,7,8,7,-3.0
652,7,9,7,-2.0
653,7,10,7,-3.0
654,7,11,7,-2.0
655,7,12,7,-3.0
656,7,13,7,-3.0
657,7,14,7,-2.0
658,7,1,13,-3.0
659,7,2,13,-1.0
660,7,3,13,-3.0
661,7,4,13,-2.0
662,7,5,13,-2.0
663,7,6,13,-3.0
